,,,threshold,pp,pn,prevalence,pred-prevalence,fpr,tnr,tpr,fnr,accuracy,precision,roc_auc,f1,threshold_group-0,pp_group-0,pn_group-0,prevalence_group-0,pred-prevalence_group-0,fpr_group-0,tnr_group-0,tpr_group-0,fnr_group-0,accuracy_group-0,precision_group-0,roc_auc_group-0,f1_group-0,threshold_group-1,pp_group-1,pn_group-1,prevalence_group-1,pred-prevalence_group-1,fpr_group-1,tnr_group-1,tpr_group-1,fnr_group-1,accuracy_group-1,precision_group-1,roc_auc_group-1,f1_group-1,fpr_ratio,fpr_diff,fnr_ratio,fnr_diff
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.000,validation,0.130201990223,4455.0,76428.0,0.0092231989416811,0.055079559363525,0.0499893931642062,0.9500106068357936,0.6018766756032171,0.3981233243967828,0.946799698329686,0.1007856341189674,0.8932422562822293,0.1726591040184579,0.130201990223,1453.0,22557.0,0.0052061640982923,0.0605164514785506,0.0581117856395227,0.9418882143604772,0.52,0.48,0.9396917950853813,0.044735030970406,0.850619886958342,0.082382762991128,0.130201990223,3002.0,53871.0,0.0109190652858122,0.0527842737327026,0.0465405674464907,0.9534594325535092,0.6183574879227053,0.3816425120772946,0.9498004325426828,0.1279147235176549,0.9041249905675208,0.2119790229091912,0.8008800096969976,0.0115712181930319,0.7950885668276972,0.0983574879227053
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.000,test,0.158319826465,3839.0,64587.0,0.011369947096133,0.0561044047584251,0.049994087038789,0.950005912961211,0.5874035989717223,0.4125964010282776,0.945883143834215,0.1190414170356863,0.8906782964530745,0.1979640459172623,0.158319826465,1319.0,19166.0,0.0065901879423968,0.0643885770075665,0.0608845208845208,0.9391154791154792,0.5925925925925926,0.4074074074074074,0.9368318281669514,0.0606520090978013,0.8705600145600146,0.1100412654745529,0.158319826465,2520.0,45421.0,0.0134123193091508,0.0525646106672785,0.0453084697027358,0.9546915302972642,0.5863141524105754,0.4136858475894245,0.9497507352787802,0.1496031746031746,0.8990484014297488,0.238381283591527,0.744170587934362,0.015576051181785,0.9848231690336954,0.0062784401820171
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.001,validation,0.029493973542,4462.0,76421.0,0.0092231989416811,0.0551661041257124,0.0499893931642062,0.9500106068357936,0.6112600536193029,0.388739946380697,0.9468862430918734,0.1021963245181532,0.8911886350389034,0.1751152073732718,0.029493973542,1093.0,22917.0,0.0052061640982923,0.0455226988754685,0.0432070337031609,0.956792966296839,0.488,0.512,0.9543523531861724,0.0558096980786825,0.8647016956248692,0.1001642036124794,0.029493973542,3369.0,53504.0,0.0109190652858122,0.0592372479032229,0.0528692313162198,0.94713076868378,0.6360708534621579,0.3639291465378422,0.943734285161676,0.1172454734342534,0.8958143610252598,0.1979949874686716,0.8172434633053839,0.0096621976130588,0.710799114331723,0.1480708534621578
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.001,test,0.039884824719,3847.0,64579.0,0.011369947096133,0.0562213193815216,0.049994087038789,0.950005912961211,0.5976863753213367,0.4023136246786632,0.9460000584573116,0.1208734078502729,0.8957093296191627,0.201081081081081,0.039884824719,1011.0,19474.0,0.0065901879423968,0.0493531852575054,0.0462407862407862,0.9537592137592138,0.5185185185185185,0.4814814814814814,0.950890895777398,0.069238377843719,0.8704482664482663,0.1221640488656195,0.039884824719,2836.0,45105.0,0.0134123193091508,0.0591560459731753,0.0516089475242082,0.9483910524757918,0.614307931570762,0.3856920684292379,0.943910222982416,0.139280677009873,0.900122297938612,0.2270767461914343,0.8959839031612895,0.0053681612834219,0.8010527575068788,0.0957894130522435
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.002,validation,0.130449761964,4486.0,76397.0,0.0092231989416811,0.0554628290246405,0.0499893931642062,0.9500106068357936,0.6434316353887399,0.35656836461126,0.9471829679908016,0.1069995541685243,0.9002781296011814,0.1834862385321101,0.130449761964,1220.0,22790.0,0.0052061640982923,0.0508121615993336,0.0482729746702951,0.9517270253297048,0.536,0.464,0.9495626822157436,0.0549180327868852,0.8657714883818297,0.099628252788104,0.130449761964,3266.0,53607.0,0.0109190652858122,0.0574261952068644,0.05071819668634,0.94928180331366,0.6650563607085346,0.3349436392914653,0.9461783271499656,0.1264543784445805,0.9074944896573656,0.2125032158476974,0.9517880726089882,0.0024452220160448,0.721861291576434,0.1290563607085346
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.002,test,0.14562812595,3892.0,64534.0,0.011369947096133,0.0568789641364393,0.049994087038789,0.950005912961211,0.6555269922879178,0.3444730077120823,0.9466577032122292,0.1310380267214799,0.899709755686779,0.2184154175588865,0.14562812595,1071.0,19414.0,0.0065901879423968,0.0522821576763485,0.0485012285012285,0.9514987714987716,0.6222222222222222,0.3777777777777777,0.9493287771540152,0.0784313725490196,0.875862407862408,0.1393034825870646,0.14562812595,2821.0,45120.0,0.0134123193091508,0.0588431613858701,0.0506363905450547,0.9493636094549452,0.6625194401244168,0.3374805598755832,0.945516363863916,0.1510102800425381,0.9049579888134576,0.2459584295612009,0.9578334470359524,0.0021351620438262,0.8933308937883085,0.0402972179021945
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.003,validation,0.001794748206,4371.0,76512.0,0.0092231989416811,0.0540410222172768,0.0499893931642062,0.9500106068357936,0.4892761394101876,0.5107238605898123,0.9457611611834378,0.0835049187828872,0.8354476220196774,0.1426617158491303,0.001794748206,1215.0,22795.0,0.0052061640982923,0.0506039150354019,0.0490265857232572,0.9509734142767428,0.352,0.648,0.9478550603915036,0.0362139917695473,0.7801609378270881,0.0656716417910447,0.001794748206,3156.0,53717.0,0.0109190652858122,0.055492061259297,0.0503982080637132,0.9496017919362868,0.5169082125603864,0.4830917874396135,0.9448771824943296,0.1017110266159695,0.846532348737101,0.1699761715647339,0.97278430338789,0.001371622340456,0.7455120176537245,0.1649082125603865
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.003,test,0.002097780163,3746.0,64680.0,0.011369947096133,0.0547452722649285,0.049994087038789,0.950005912961211,0.467866323907455,0.532133676092545,0.9445240113407184,0.0971703150026695,0.8079978462532803,0.160919540229885,0.002097780163,1115.0,19370.0,0.0065901879423968,0.0544300707835001,0.0517936117936117,0.9482063882063884,0.4518518518518518,0.5481481481481482,0.9449353185257504,0.0547085201793721,0.7612456092456092,0.0975999999999999,0.002097780163,2631.0,45310.0,0.0134123193091508,0.0548799566133372,0.0492198401623747,0.9507801598376252,0.4712286158631415,0.5287713841368584,0.9443482614046432,0.1151653363740022,0.8186749747982861,0.1850946854001222,0.9503071606302902,0.002573771631237,0.964650498087512,0.0193767640112897
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.004,validation,0.109858413076,4418.0,76465.0,0.0092231989416811,0.0546221084776776,0.0499893931642062,0.9500106068357936,0.5522788203753352,0.4477211796246649,0.9463422474438388,0.0932548664554096,0.8531283273908178,0.1595662277304415,0.109858413076,1280.0,22730.0,0.0052061640982923,0.0533111203665139,0.0513711534435838,0.948628846556416,0.424,0.576,0.9458975426905456,0.04140625,0.7982465982834415,0.0754448398576512,0.109858413076,3138.0,53735.0,0.0109190652858122,0.0551755666133314,0.04940268790443,0.95059731209557,0.5780998389694042,0.4219001610305958,0.9465299878677051,0.11440407903123,0.8644887115411062,0.1910082468741686,0.961681500079309,0.0019684655391537,0.7324655573447845,0.1540998389694041
AOF-FairHO-results.fpr=0.05.use-val-threshold=False.randomized-clf=True,FairGBM-with-equalized-prev.BCE+BCE.004,test,0.130190491315,3790.0,64636.0,0.011369947096133,0.0553883026919592,0.049994087038789,0.950005912961211,0.5244215938303342,0.4755784061696658,0.9451670417677492,0.1076517150395778,0.850404437426582,0.1786339754816112,0.130190491315,1162.0,19323.0,0.0065901879423968,0.0567244325115938,0.0536117936117936,0.9463882063882064,0.5259259259259259,0.4740740740740741,0.9436172809372712,0.0611015490533562,0.847106379106379,0.1094834232845027,0.130190491315,2628.0,45313.0,0.0134123193091508,0.0548173796958761,0.0484375660704469,0.9515624339295532,0.5241057542768274,0.4758942457231726,0.9458292484512212,0.128234398782344,0.8520816724271054,0.2060531947416692,0.9034871398108116,0.0051742275413466,0.996175260227548,0.0018201716490985
